ID,ID_BOLETA,COD_ITEM,ITEM,PRECIO,EDAD,COD_GE,GENERO,DIA,MES,COD_DIST,DISTRITO
C0001,1,17,MOCHILA,213,38,2,M,6,2,1,SURCO
C0002,1,19,BIKINI,80,32,1,F,2,5,3,SAN_BORJA
C0003,1,7,PANTALON,206,41,1,F,1,11,2,LA_MOLINA
C0004,1,21,POLO,148,42,1,F,1,2,2,LA_MOLINA
C0005,1,10,SHORT,59,39,1,F,4,8,4,SAN_ISIDRO
C0006,1,19,BIKINI,85,21,1,F,2,5,1,SURCO
C0007,1,7,PANTALON,233,45,1,F,1,5,3,SAN_BORJA
C0008,1,3,FALDA,55,43,1,F,6,5,4,SAN_ISIDRO
C0009,1,16,PERFUME,258,36,2,M,1,5,3,SAN_BORJA
C0010,2,19,BIKINI,131,18,2,F,4,11,2,LA_MOLINA
C0011,2,5,CAMISA,138,24,1,F,2,9,2,LA_MOLINA
C0012,2,5,CAMISA,80,33,2,M,2,6,2,LA_MOLINA
C0013,2,4,BLUSA,92,35,1,F,2,5,2,LA_MOLINA
C0014,2,22,PIJAMA,103,34,2,M,2,5,2,LA_MOLINA
C0015,2,1,ZAPATOS,215,26,2,M,4,5,1,SURCO
C0016,2,7,PANTALON,173,20,2,M,7,4,4,SAN_ISIDRO
C0017,2,22,PIJAMA,78,34,2,M,5,12,1,SURCO
C0018,2,11,SANDALIAS,79,30,2,M,2,8,1,SURCO
C0019,2,7,PANTALON,153,41,2,M,4,5,4,SAN_ISIDRO
C0020,2,19,BIKINI,139,19,2,F,6,10,3,SAN_BORJA
C0021,2,17,MOCHILA,164,39,2,M,3,3,1,SURCO
C0022,3,2,MEDIAS,11,29,2,M,7,7,2,LA_MOLINA
C0023,3,11,SANDALIAS,56,36,2,M,2,12,3,SAN_BORJA
C0024,3,10,SHORT,114,22,1,F,3,8,4,SAN_ISIDRO
C0025,3,22,PIJAMA,92,24,1,F,3,2,1,SURCO
C0026,4,14,GORRO,78,44,1,F,7,10,2,LA_MOLINA
C0027,4,12,BUFANDA,47,45,2,M,3,4,3,SAN_BORJA
C0028,4,6,CARTERA,183,20,2,M,1,1,2,LA_MOLINA
C0029,4,9,ABRIGO,308,25,2,M,6,5,1,SURCO
C0030,4,15,ZAPATILLAS,217,22,1,F,7,1,3,SAN_BORJA
C0031,4,8,CASACA,191,25,2,M,4,7,3,SAN_BORJA
C0032,5,16,PERFUME,214,32,1,F,4,9,3,SAN_BORJA
C0033,5,22,PIJAMA,75,24,2,M,7,4,4,SAN_ISIDRO
C0034,6,5,CAMISA,99,19,1,F,3,2,1,SURCO
C0035,6,19,BIKINI,140,45,2,F,7,7,3,SAN_BORJA
C0036,7,4,BLUSA,108,44,2,F,2,1,3,SAN_BORJA
C0037,7,4,BLUSA,92,35,2,F,6,9,3,SAN_BORJA
C0038,7,17,MOCHILA,158,23,2,M,3,8,2,LA_MOLINA
C0039,7,7,PANTALON,171,38,1,F,6,8,1,SURCO
C0040,8,12,BUFANDA,49,26,1,F,6,11,1,SURCO
C0041,8,10,SHORT,116,23,2,M,6,5,4,SAN_ISIDRO
C0042,8,19,BIKINI,163,24,1,F,4,1,4,SAN_ISIDRO
C0043,8,21,POLO,96,25,1,F,7,10,2,LA_MOLINA
C0044,8,8,CASACA,185,42,2,M,2,3,3,SAN_BORJA
C0045,9,10,SHORT,115,24,1,F,6,11,4,SAN_ISIDRO
C0046,9,4,BLUSA,149,31,2,F,6,7,3,SAN_BORJA
C0047,9,20,SHORT,71,41,2,M,3,9,3,SAN_BORJA
C0048,9,19,BIKINI,94,40,1,F,7,9,4,SAN_ISIDRO
C0049,9,7,PANTALON,95,20,1,F,4,5,2,LA_MOLINA
C0050,9,15,ZAPATILLAS,260,38,1,F,5,3,1,SURCO
C0051,10,5,CAMISA,130,28,1,F,2,3,2,LA_MOLINA
C0052,10,18,RELOJ,356,18,2,M,3,7,4,SAN_ISIDRO
C0053,10,16,PERFUME,408,36,1,F,6,2,2,LA_MOLINA
C0054,10,5,CAMISA,111,45,2,M,4,2,3,SAN_BORJA
C0055,11,11,SANDALIAS,76,23,1,F,1,4,1,SURCO
C0056,11,13,JEAN,98,38,1,F,2,1,4,SAN_ISIDRO
C0057,11,21,POLO,120,32,2,M,6,8,4,SAN_ISIDRO
C0058,11,15,ZAPATILLAS,260,29,2,M,3,11,3,SAN_BORJA
C0059,11,20,SHORT,51,41,2,M,3,3,2,LA_MOLINA
C0060,11,6,CARTERA,185,36,1,F,7,10,1,SURCO
C0061,11,7,PANTALON,229,34,1,F,7,5,2,LA_MOLINA
C0062,11,6,CARTERA,189,38,1,F,7,9,3,SAN_BORJA
C0063,12,19,BIKINI,192,37,1,F,6,4,2,LA_MOLINA
C0064,12,3,FALDA,107,35,2,F,6,5,1,SURCO
C0065,12,22,PIJAMA,82,37,1,F,5,3,4,SAN_ISIDRO
C0066,12,19,BIKINI,143,20,2,F,1,7,2,LA_MOLINA
C0067,12,20,SHORT,81,26,1,F,6,1,1,SURCO
C0068,12,14,GORRO,82,37,1,F,5,11,4,SAN_ISIDRO
C0069,12,3,FALDA,59,27,2,F,1,12,2,LA_MOLINA
C0070,12,1,ZAPATOS,264,26,2,M,4,1,3,SAN_BORJA
C0071,12,13,JEAN,174,22,2,M,5,3,3,SAN_BORJA
C0072,13,15,ZAPATILLAS,228,37,1,F,3,5,4,SAN_ISIDRO
C0073,13,14,GORRO,65,18,2,M,1,11,2,LA_MOLINA
C0074,13,9,ABRIGO,399,36,2,M,1,5,2,LA_MOLINA
C0075,13,6,CARTERA,235,44,2,M,2,2,1,SURCO
C0076,13,19,BIKINI,95,37,1,F,7,7,4,SAN_ISIDRO
C0077,13,10,SHORT,79,31,2,M,6,3,4,SAN_ISIDRO
C0078,14,2,MEDIAS,15,41,2,M,1,11,4,SAN_ISIDRO
C0079,14,11,SANDALIAS,25,45,1,F,7,12,2,LA_MOLINA
C0080,14,15,ZAPATILLAS,244,32,2,M,7,3,2,LA_MOLINA
C0081,14,2,MEDIAS,12,38,1,F,3,4,2,LA_MOLINA
C0082,14,7,PANTALON,209,20,1,F,2,8,1,SURCO
